,Gene,ProteinGroup,m_00h,m_01h,m_02h,m_03h,m_04h,m_05h,m_06h,m_08h,m_10h,m_12h,m_14h,m_16h,m_18h,m_20h,p_00h,p_01h,p_02h,p_03h,p_04h,p_05h,p_06h,p_08h,p_10h,p_12h,p_14h,p_16h,p_18h,p_20h,ms_00h,ms_01h,ms_02h,ms_03h,ms_04h,ms_05h,ms_06h,ms_08h,ms_10h,ms_12h,ms_14h,ms_16h,ms_18h,ms_20h,ps_00h,ps_01h,ps_02h,ps_03h,ps_04h,ps_05h,ps_06h,ps_08h,ps_10h,ps_12h,ps_14h,ps_16h,ps_18h,ps_20h,n
33,FBgn0034365,FBtr0086708,24.0010811502,22.7200179506,9.89216745325,2.17689085919,2.23727940865,1.23862068,2.19201344674,1.38714735879,4.96115368597,13.777820051,50.2107291887,49.6101272082,31.7528035115,27.4560681864,0.0720411137276,0.0488841353857,0.0566415084608,0.0502638744458,0.055086130765,0.0523910534777,0.0397616598034,0.0326531739101,0.0373154039167,0.0502443590419,0.0521549170898,0.0614520555375,0.0674140114481,0.106858545937,4.16041176621,3.938348836,1.7147348325,0.377348098932,0.387816012029,0.214705830071,0.37996948881,0.240451842851,0.859979683413,2.38828427329,8.7036624392,8.59955248137,5.50411610682,4.75930848372,0.0122350704837,0.00830221537441,0.00961968537773,0.00853654274355,0.00935552849908,0.00889781124761,0.0067529037944,0.00554563725676,0.00633744501473,0.00853322835361,0.00885770712927,0.0104366824993,0.0114492286276,0.0181482735854,14
34,FBgn0266671,FBtr0086709,18.49351369,19.8953834189,6.82388365423,10.0602958985,12.8165980947,14.8517350243,16.0032097701,17.4218122314,16.5942281061,16.0914150705,14.0155547867,14.0306434407,12.1705841449,9.17695211088,0.0418742022824,0.0618794428843,0.0449400722449,0.0717678980721,0.0457751363804,0.056007257832,0.0602791797594,0.0615027955878,0.0545026201865,0.0483708802615,0.0499165002553,0.0486460474573,0.0499809010884,0.0451742570924,3.20571525395,3.44871911192,1.18287029108,1.74387866805,2.22166348184,2.5744395745,2.77403929465,3.01994364932,2.87648799786,2.78932903795,2.42949384988,2.43210935762,2.10968169147,1.59075748718,0.007111686506,0.0105092676391,0.00763237716643,0.0121886690245,0.0077741999122,0.00951196770451,0.0102374876636,0.0104452999132,0.00925642823971,0.00821504691884,0.00847754660253,0.00826177981708,0.00848848408935,0.00767214984578,14
35,FBgn0013684,FBtr0100877,135.550635395,122.118662333,164.090545779,137.522207255,213.824035247,233.339157288,300.331026741,260.841712176,304.455391568,265.925904893,242.566662527,76.831058117,466.572266467,321.358717487,0.474653655176,0.330708035549,0.303064465836,0.234063852046,0.192160376657,0.190201030099,0.170783203157,0.199693322587,0.135109044713,0.193938229958,0.141820392136,0.193764542863,0.163271724172,0.194582238289,23.4967106227,21.1683763938,28.4438952191,23.8384681756,37.0648316454,40.4476352304,52.0601855222,45.2150018437,52.775113981,46.0963094428,42.0471557324,13.3181016389,80.8768877974,55.7051818225,0.0806125922537,0.0561656520159,0.0514708186582,0.039752130128,0.0326354720371,0.0323027072865,0.0290048892908,0.033914826556,0.0229461844705,0.0329374129611,0.0240860031727,0.0329079148906,0.0277291806008,0.0330467878293,14
36,FBgn0260859,FBtr0089879,34.4198687714,33.0224522342,43.6902174805,32.240816795,26.631850128,22.5403208109,19.7915311842,22.9435285171,24.223651413,26.0030754791,24.9795379795,30.9091622684,25.7721256311,19.5030120051,,,,0.0618872490459,,0.0492393157378,0.0557047690706,0.0642134851982,0.076500383533,0.0482049993278,0.0584076525194,0.0562824250279,0.0553008002086,0.0451877227211,5.96643235078,5.72420042101,7.57337945474,5.588709638,4.61643631532,3.90719965194,3.43071708708,3.97709275695,4.19899269241,4.5074428316,4.33002009676,5.35787707147,4.46740936565,3.3807043989,,,,0.0105105933951,,0.00836253727142,0.00946059466035,0.0109056686766,0.0129924085862,0.00818687460431,0.0099196376678,0.00955870060274,0.00939198678848,0.00767443677484,10
38,FBgn0083968,FBtr0110879,71.5202689152,46.0417993976,8.23867933709,14.3680572433,17.8835017301,24.0327500495,38.5988456129,53.3178833043,95.2622288777,105.213156999,180.170611378,194.312635029,143.401255125,155.841701508,0.254002740274,0.195075978009,0.24836669161,0.130696611877,0.103408222517,0.1400698604,0.117705207459,0.113023462049,0.0998486128338,0.146851463277,0.0606694878386,0.176540247326,0.140518714692,0.135825260039,12.3975151976,7.98100897009,1.42811476857,2.49059757094,3.09997414506,4.16590133815,6.69082740254,9.24226486552,16.5130102023,18.2379307665,31.2312569093,33.6826732113,24.8575580983,27.0140184338,0.0431384423353,0.0331306418949,0.042181246519,0.0221968009038,0.0175622894431,0.0237887023946,0.0199904115171,0.0191952893692,0.016957744717,0.0249404529007,0.0103037754625,0.0299826343247,0.0238649333634,0.0230678225815,14
39,FBgn0026262,FBtr0089110,86.7689179072,85.6262223073,99.0794087517,110.274413853,108.087768405,86.9823849576,84.274237879,91.9297813455,88.5865882524,91.6301787144,77.596228146,76.2576733024,66.4481245437,63.6332519748,,,0.0629742570466,0.0613544785177,0.0665943644817,0.0660518362515,0.0637841463111,0.0588662645125,0.0619555529598,0.0707648063084,0.0835434928231,0.0848139456211,0.0841601795883,0.100572634321,15.0407569036,14.8426789841,17.1746903975,19.1152626016,18.736223616,15.0777598545,14.6083223779,15.935354811,15.3558367554,15.8834208875,13.4507382635,13.2187095776,11.5182960911,11.0303585318,,,0.010695204915,0.0104201105496,0.0113100242499,0.0112178842094,0.0108327520978,0.00999752583152,0.0105221937599,0.0120183093813,0.0141885719176,0.014404338703,0.0142933066398,0.017080708584,12
40,FBgn0039907,FBtr0089111,56.1789697178,62.9139701188,75.7027477931,37.183395607,28.3302705542,34.8236332457,37.8149210593,42.1633495713,39.2438458083,38.6405184305,31.2409202385,32.9053745317,27.5116746233,26.5178971899,,,,0.0281779014734,0.0259734414418,0.0280077271508,0.0302615611545,0.0278402849848,0.0367170616312,0.0295049489428,0.0278910250351,0.0272278916085,0.0367069136212,0.0326418549758,9.73821325654,10.9056762861,13.1225173017,6.44546950294,4.91084506636,6.03642196746,6.55493981831,7.30870807702,6.80263346599,6.69805108048,5.41538488764,5.70390585811,4.7689474526,4.59668340746,,,,0.00478558135447,0.00441118786623,0.00475667987414,0.00513945876894,0.00472824240841,0.00623582581901,0.00501095987076,0.00473685982227,0.00462423685192,0.00623410233624,0.00554371491059,11
41,FBgn0265298,FBtr0306252;FBtr0302910;FBtr0089899,41.9995199048,34.4569087459,33.7405076816,128.872210191,143.199522444,180.227156109,185.861676,179.139076428,137.046182485,115.482592573,92.9282964363,85.2919610271,71.8157166371,37.8680361549,0.108285121967,0.106011577405,0.0882388990165,0.0847710117323,0.0941657271999,0.0978229139025,0.110020041379,0.160018506331,0.205727485492,0.250445082132,0.191797390144,0.267727923881,0.260167656386,0.242428154184,7.2803094033,5.97285295927,5.84867007775,22.3390544893,24.8225892144,31.2410585246,32.2177613118,31.0524478749,23.7559527655,20.0180622668,16.1084400944,14.7847372375,12.4487288979,6.5641469314,0.0183905554904,0.0180044290618,0.0149860141384,0.0143970470451,0.0159925943649,0.0166137110407,0.0186852047566,0.0271766717969,0.0349396359272,0.0425342290482,0.0325738243841,0.0454694527839,0.044185458119,0.0411726776586,14
42,FBgn0035145,FBtr0072554;FBtr0344912,35.7861817179,36.7443019513,14.298281447,24.5908950097,25.3014500844,25.0287543905,24.6957428112,20.9672338866,18.0602640508,18.6374043104,10.9316865529,9.90889935008,9.29331627036,6.61744421758,0.13139721488,0.0813928953064,0.207317990915,0.138258830913,0.151890340581,0.152512881967,0.164469969975,0.148309263953,0.203350509289,0.182264115308,0.193264948521,0.199986053646,0.232424558113,0.269021795164,6.20327270074,6.36935583121,2.47850244731,4.26265168222,4.38582120426,4.33855140144,4.2808262813,3.63451654619,3.13061459972,3.23065763994,1.89492786074,1.71763518436,1.61092836262,1.14708552556,0.0223157875029,0.0138233261456,0.0352097587077,0.0234811270077,0.0257962283846,0.0259019574239,0.0279326841434,0.0251880378296,0.0345359432318,0.0309547448957,0.032823066508,0.0339645424052,0.0394737213726,0.0456891968373,14
44,FBgn0027779,FBtr0335143;FBtr0080940;FBtr0080941;FBtr0080942,73.3718299531,69.3854057829,71.9797876244,38.7608726066,39.7025953819,32.2106418501,25.953120436,28.5247562922,33.100428937,36.2611040407,44.6945919503,62.239486399,44.2614191789,100.624259908,1.93073697563,1.59706259868,1.39911785628,1.86992697688,1.44111500561,1.71758973355,1.83025216062,1.51068742074,1.63566406771,1.28021049994,1.32480319799,1.08962306484,1.08936936459,1.20008025127,12.7184697529,12.0274522975,12.4771694028,6.71891359612,6.88215434723,5.58347903213,4.49878349048,4.9445577457,5.73771711177,6.2855970097,7.74748041859,10.7887594695,7.67239308883,17.4424790396,0.327905854865,0.271236415578,0.237618558361,0.317578215795,0.244751125523,0.291706087881,0.310840061036,0.256566925679,0.27779227889,0.217423980423,0.224997361448,0.185055648215,0.185012561146,0.203815095307,14
